,coefficient,pvalues,content
C(year)[T.1],-0.0,,-0.0 
C(model_id)[T.5],-0.07,,-0.07 
dependency_distance_mean_st,-0.08,***,-0.08 ***
token_doc_st,-0.15,***,-0.15 ***
Intercept,-0.41,***,-0.41 ***
C(model_id)[T.English_25_False],-0.94,***,-0.94 ***
C(model_id)[T.English_25_True],-0.98,***,-0.98 ***
C(model_id)[T.4],0.02,,0.02 
C(model_id)[T.chatGPT_title],0.06,,0.06 
C(model_id)[T.3],0.08,,0.08 
C(model_id)[T.11],0.08,,0.08 
C(model_id)[T.2],0.08,,0.08 
C(model_id)[T.6],0.09,,0.09 
similarity_st,0.24,***,0.24 ***
C(model_id)[T.English_100],0.55,***,0.55 ***
C(model_id)[T.chatGPT_pipeline],0.59,***,0.59 ***
C(model_id)[T.chatGPT_e2e],0.64,***,0.64 ***
C(year)[T.2],0.69,***,0.69 ***
